new_z,new_omega,sol1,sol2,sol3
0.01,0.96,0.999582999095276,-0.0012149192719504,-0.0009904119913877
0.035,0.96,0.997409232722911,0.0019393364645839,-0.0007580448646423
0.06,0.935,0.993254894862026,-0.0014809735272931,-0.0012691554662535
0.085,0.935,0.990656013571718,-0.0042569999169753,-0.0007453198286908
0.11,0.91,0.987476981249609,-0.0079922811707734,-0.0011966952293301
0.135,0.91,0.98451991525435,-0.0110315934602326,-0.0002617663683584
0.16,0.86,0.98048506510081,-0.0131584511386765,-0.0021160577636587
0.185,0.885,0.976001906327074,-0.0172114524913957,-0.0003538089484899
0.21,0.86,0.972511807696522,-0.0200403907159765,-0.0007533411731765
0.235,0.81,0.97774942765828,-0.115534121879778,-0.0134331720871004
0.26,0.81,1.00859326212649,-0.128859976963666,-0.0088190936761826
0.285,0.835,0.981597283100474,-0.111674929533192,-0.013409097136557
0.31,0.835,0.985343436176655,-0.124074494148077,-0.0128929022308231
0.335,0.835,0.968536611744498,-0.10781884905329,-0.0133789505984927
0.36,0.835,0.969665495820117,-0.118869313775005,-0.0112186640266766
0.385,0.81,0.962512976746175,-0.148457245515405,-0.0120069082028543
0.41,0.835,0.984179529022358,-0.154071517387362,-0.0111906673532343
0.435,0.61,0.989090533308987,-0.258354784155209,-0.0111945434526832
0.46,0.61,0.999956210082106,-0.259144797471497,-0.0102579585110879
0.485,0.585,1.00881653134966,-0.261324774393534,-0.0090462529815687
0.51,0.585,1.00861219366083,-0.26117212814147,0.0006974110131255
0.535,0.585,0.989314572002684,-0.261028017063973,-0.0083015407787104
0.56,0.585,0.992888559148512,-0.26088156975538,-0.0072280964378267
0.585,0.585,1.0125839225223,-0.260736621385675,-0.0073026286213365
0.61,0.585,1.01256299891875,-0.260598679649059,-0.0066712881773143
0.635,0.585,1.0102297878006,-0.260456047981218,0.0128952769517363
0.66,0.585,0.95040127476749,-0.260321495963079,0.0108968120627454
0.685,0.56,0.875891885185396,-0.260185062238368,0.0089234698093435
0.71,0.56,0.881810527605455,-0.260044554108508,0.0066745833149647
0.735,0.56,0.882903866917939,-0.25991693931244,0.004783230596839
0.76,0.56,0.821824745269008,-0.259785076515837,-0.0399142113160272
0.785,0.56,0.987312873376918,-0.261978549382833,0.0078876678521717
0.81,0.56,1.02873139432914,-0.261836084899486,-0.0461394726111284
0.835,0.56,0.952885409849499,-0.261699217533871,0.0072823634663766
0.86,0.56,0.946932143993306,-0.261564568072609,0.0087103796773507
0.885,0.535,0.909173967775256,-0.263853656211384,0.010067743246544
0.91,0.535,0.911332099516751,-0.263711671261086,-0.0453975822646166
0.935,0.535,0.919936800617935,-0.263564656714426,-0.0446826306459974
0.96,0.535,0.926522423690694,-0.26343044650663,0.0138461336615359
0.985,0.46,0.755121899167117,-0.263290022864297,0.0181388735327608
